fan_id,household_id,fan_segment,city,state,acquisition_channel,total_orders,total_tickets,total_revenue,group_orders,group_tickets,group_revenue,avg_tickets_per_order,group_sales_score,upgrade_potential_score,days_since_last_game,email_opt_in,sms_opt_in,recommended_crm_action,group_sales_priority,recommended_contact_channel
FAN0029752,HH0029752,group_buyer,Huntsville,AL,community_event,2,54,719.90,2,54,719.90,27.00,81,74,462,0,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Rep Call / Manual Research
FAN0026782,HH0026782,group_buyer,Madison,AL,group_sales_rep,2,54,719.35,2,54,719.35,27.00,81,74,506,0,1,Group Sales Follow-Up,Priority 2: Group Package Offer,SMS
FAN0058581,HH0058581,group_buyer,Madison,AL,community_event,2,55,717.79,2,55,717.79,27.50,81,74,4,0,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Rep Call / Manual Research
FAN0061753,HH0061753,group_buyer,Nashville,TN,group_sales_rep,2,55,716.12,2,55,716.12,27.50,81,84,16,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0089259,HH0089259,group_buyer,Decatur,AL,group_sales_rep,2,54,712.85,2,54,712.85,27.00,81,74,16,0,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Rep Call / Manual Research
FAN0051216,HH0051216,group_buyer,Huntsville,AL,group_sales_rep,2,54,709.46,2,54,709.46,27.00,81,84,126,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0021412,HH0021412,group_buyer,Meridianville,AL,community_event,2,53,705.99,2,53,705.99,26.50,81,84,373,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0024697,HH0024697,group_buyer,Birmingham,AL,website,3,53,701.50,3,53,701.50,17.67,81,84,518,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0044496,HH0044496,group_buyer,Huntsville,AL,website,2,53,699.44,2,53,699.44,26.50,81,84,32,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0082152,HH0082152,group_buyer,Huntsville,AL,community_event,2,54,693.56,2,54,693.56,27.00,81,83,86,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0035025,HH0035025,group_buyer,Huntsville,AL,community_event,2,53,690.74,2,53,690.74,26.50,81,83,33,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0021759,HH0021759,group_buyer,Madison,AL,website,2,53,688.93,2,53,688.93,26.50,81,83,492,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0040117,HH0040117,group_buyer,Huntsville,AL,community_event,2,53,684.67,2,53,684.67,26.50,81,83,477,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0046203,HH0046203,corporate_group,Huntsville,AL,sponsorship_relationship,3,99,2049.12,3,99,2049.12,33.00,80,75,463,0,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,SMS
FAN0084284,HH0084284,corporate_group,Huntsville,AL,group_sales_rep,2,101,2033.20,2,101,2033.20,50.50,80,85,30,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0059858,HH0059858,corporate_group,Madison,AL,ticket_rep,2,100,2020.82,2,100,2020.82,50.00,80,85,89,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0029431,HH0029431,corporate_group,Madison,AL,sponsorship_relationship,2,102,1963.42,2,102,1963.42,51.00,80,85,467,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0086579,HH0086579,group_buyer,Huntsville,AL,community_event,4,102,1429.80,4,102,1429.80,25.50,80,75,14,0,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Rep Call / Manual Research
FAN0001665,HH0001665,group_buyer,Huntsville,AL,website,5,99,1362.23,5,99,1362.23,19.80,80,85,829,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0000280,HH0000280,group_buyer,Huntsville,AL,group_sales_rep,4,98,1356.81,4,98,1356.81,24.50,80,85,463,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0017390,HH0017390,group_buyer,Madison,AL,group_sales_rep,5,100,1353.36,5,100,1353.36,20.00,80,85,87,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0047943,HH0047943,corporate_group,Nashville,TN,sponsorship_relationship,1,52,1141.54,1,52,1141.54,52.00,80,60,477,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0099846,HH0099846,corporate_group,Decatur,AL,ticket_rep,1,52,1128.43,1,52,1128.43,52.00,80,60,5,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0075671,HH0075671,corporate_group,Huntsville,AL,group_sales_rep,1,49,1052.74,1,49,1052.74,49.00,80,50,144,0,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,SMS
FAN0039724,HH0039724,corporate_group,Harvest,AL,group_sales_rep,1,51,1039.57,1,51,1039.57,51.00,80,60,507,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0085848,HH0085848,corporate_group,Athens,AL,ticket_rep,1,50,1035.67,1,50,1035.67,50.00,80,60,91,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0075851,HH0075851,corporate_group,Decatur,AL,group_sales_rep,2,51,1032.14,2,51,1032.14,25.50,80,85,73,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0099654,HH0099654,corporate_group,Huntsville,AL,sponsorship_relationship,1,48,999.53,1,48,999.53,48.00,80,59,5,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0073626,HH0073626,corporate_group,Athens,AL,sponsorship_relationship,1,49,996.68,1,49,996.68,49.00,80,60,158,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0017025,HH0017025,corporate_group,Chattanooga,TN,sponsorship_relationship,2,48,985.56,2,48,985.56,24.00,80,84,95,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0094466,HH0094466,corporate_group,Madison,AL,group_sales_rep,1,51,975.04,1,51,975.04,51.00,80,60,33,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0076936,HH0076936,corporate_group,Chattanooga,TN,group_sales_rep,1,50,973.13,1,50,973.13,50.00,80,60,142,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0081789,HH0081789,corporate_group,Huntsville,AL,sponsorship_relationship,1,50,965.75,1,50,965.75,50.00,80,60,107,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0071794,HH0071794,corporate_group,Huntsville,AL,sponsorship_relationship,1,52,944.67,1,52,944.67,52.00,80,60,163,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0101826,HH0101826,corporate_group,Huntsville,AL,group_sales_rep,1,51,918.52,1,51,918.52,51.00,80,60,1,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0085797,HH0085797,corporate_group,Madison,AL,sponsorship_relationship,1,49,910.42,1,49,910.42,49.00,80,60,91,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0081550,HH0081550,corporate_group,Chattanooga,TN,sponsorship_relationship,1,49,900.09,1,49,900.09,49.00,80,60,107,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0083551,HH0083551,group_buyer,Decatur,AL,community_event,2,52,795.45,2,52,795.45,26.00,80,85,87,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0038883,HH0038883,group_buyer,Madison,AL,website,2,52,788.46,2,52,788.46,26.00,80,85,402,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0033283,HH0033283,group_buyer,Harvest,AL,website,2,52,779.99,2,52,779.99,26.00,80,85,739,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0005147,HH0005147,group_buyer,Huntsville,AL,community_event,2,50,772.01,2,50,772.01,25.00,80,75,845,0,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Rep Call / Manual Research
FAN0030579,HH0030579,group_buyer,Madison,AL,group_sales_rep,2,51,769.55,2,51,769.55,25.50,80,75,0,0,1,Group Sales Follow-Up,Priority 2: Group Package Offer,SMS
FAN0065916,HH0065916,group_buyer,Huntsville,AL,website,2,52,767.42,2,52,767.42,26.00,80,85,86,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0051523,HH0051523,group_buyer,Huntsville,AL,group_sales_rep,2,51,767.10,2,51,767.10,25.50,80,85,376,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0030134,HH0030134,group_buyer,Huntsville,AL,group_sales_rep,2,51,764.86,2,51,764.86,25.50,80,85,520,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0011391,HH0011391,group_buyer,Madison,AL,community_event,3,51,763.07,3,51,763.07,17.00,80,85,417,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0034704,HH0034704,group_buyer,Huntsville,AL,website,2,52,761.15,2,52,761.15,26.00,80,85,478,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0014880,HH0014880,group_buyer,Huntsville,AL,community_event,3,51,756.45,3,51,756.45,17.00,80,85,163,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0053854,HH0053854,group_buyer,Chattanooga,TN,group_sales_rep,2,51,755.85,2,51,755.85,25.50,80,85,163,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0030172,HH0030172,group_buyer,Huntsville,AL,community_event,2,50,753.81,2,50,753.81,25.00,80,75,383,0,1,Group Sales Follow-Up,Priority 2: Group Package Offer,SMS
FAN0043728,HH0043728,group_buyer,Madison,AL,group_sales_rep,3,52,751.54,3,52,751.54,17.33,80,85,371,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0027231,HH0027231,group_buyer,Harvest,AL,group_sales_rep,3,51,749.34,3,51,749.34,17.00,80,85,144,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0027767,HH0027767,group_buyer,Madison,AL,group_sales_rep,2,52,749.07,2,52,749.07,26.00,80,85,481,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0017460,HH0017460,group_buyer,Madison,AL,website,3,51,748.71,3,51,748.71,17.00,80,85,504,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0064663,HH0064663,group_buyer,Huntsville,AL,website,3,52,739.39,3,52,739.39,17.33,80,85,86,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0047462,HH0047462,group_buyer,Madison,AL,group_sales_rep,2,52,738.26,2,52,738.26,26.00,80,75,96,0,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Rep Call / Manual Research
FAN0073664,HH0073664,group_buyer,Huntsville,AL,community_event,2,51,737.67,2,51,737.67,25.50,80,75,87,0,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Rep Call / Manual Research
FAN0044082,HH0044082,group_buyer,Meridianville,AL,website,2,52,732.22,2,52,732.22,26.00,80,75,73,0,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Rep Call / Manual Research
FAN0057604,HH0057604,group_buyer,Chattanooga,TN,community_event,3,50,732.12,3,50,732.12,16.67,80,85,15,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0076536,HH0076536,group_buyer,Huntsville,AL,group_sales_rep,2,51,731.75,2,51,731.75,25.50,80,85,2,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0075907,HH0075907,group_buyer,Madison,AL,community_event,3,50,730.88,3,50,730.88,16.67,80,84,19,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0097273,HH0097273,group_buyer,Madison,AL,community_event,2,49,729.75,2,49,729.75,24.50,80,84,1,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0065412,HH0065412,group_buyer,Huntsville,AL,community_event,3,50,729.70,3,50,729.70,16.67,80,84,86,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0002615,HH0002615,group_buyer,Huntsville,AL,community_event,2,51,729.21,2,51,729.21,25.50,80,84,875,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0038375,HH0038375,group_buyer,Harvest,AL,community_event,2,50,728.81,2,50,728.81,25.00,80,74,490,0,1,Group Sales Follow-Up,Priority 2: Group Package Offer,SMS
FAN0020433,HH0020433,group_buyer,Harvest,AL,community_event,2,48,728.01,2,48,728.01,24.00,80,83,494,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0015693,HH0015693,group_buyer,Nashville,TN,group_sales_rep,2,51,727.24,2,51,727.24,25.50,80,74,491,0,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Rep Call / Manual Research
FAN0025198,HH0025198,group_buyer,Huntsville,AL,group_sales_rep,2,50,725.07,2,50,725.07,25.00,80,84,506,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0053809,HH0053809,group_buyer,Chattanooga,TN,community_event,2,49,724.93,2,49,724.93,24.50,80,84,163,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0061797,HH0061797,group_buyer,Huntsville,AL,group_sales_rep,2,49,724.62,2,49,724.62,24.50,80,84,155,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0043199,HH0043199,group_buyer,Madison,AL,website,2,49,722.44,2,49,722.44,24.50,80,84,1,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0002137,HH0002137,group_buyer,Huntsville,AL,website,2,50,721.86,2,50,721.86,25.00,80,84,866,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0076194,HH0076194,group_buyer,Huntsville,AL,website,2,51,721.71,2,51,721.71,25.50,80,74,93,0,1,Group Sales Follow-Up,Priority 2: Group Package Offer,SMS
FAN0043253,HH0043253,group_buyer,Huntsville,AL,website,2,52,721.57,2,52,721.57,26.00,80,74,73,0,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Rep Call / Manual Research
FAN0067313,HH0067313,group_buyer,Florence,AL,group_sales_rep,2,51,721.40,2,51,721.40,25.50,80,84,144,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0014968,HH0014968,group_buyer,Meridianville,AL,group_sales_rep,3,52,720.79,3,52,720.79,17.33,80,84,84,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0066703,HH0066703,group_buyer,Huntsville,AL,group_sales_rep,2,50,719.57,2,50,719.57,25.00,80,84,375,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0018304,HH0018304,group_buyer,Huntsville,AL,community_event,3,50,718.66,3,50,718.66,16.67,80,84,508,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0048245,HH0048245,group_buyer,Chattanooga,TN,community_event,2,51,717.38,2,51,717.38,25.50,80,84,403,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0063177,HH0063177,group_buyer,Huntsville,AL,group_sales_rep,2,49,717.26,2,49,717.26,24.50,80,84,32,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0031874,HH0031874,group_buyer,Huntsville,AL,community_event,2,49,715.86,2,49,715.86,24.50,80,84,374,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0065455,HH0065455,group_buyer,Madison,AL,group_sales_rep,2,49,715.06,2,49,715.06,24.50,80,84,374,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0003600,HH0003600,group_buyer,Huntsville,AL,community_event,3,50,714.22,3,50,714.22,16.67,80,84,30,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0019806,HH0019806,group_buyer,Madison,AL,website,2,48,712.96,2,48,712.96,24.00,80,83,86,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0065874,HH0065874,group_buyer,Decatur,AL,group_sales_rep,2,48,710.96,2,48,710.96,24.00,80,83,45,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0062940,HH0062940,group_buyer,Harvest,AL,website,2,51,709.72,2,51,709.72,25.50,80,84,382,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0063829,HH0063829,group_buyer,Madison,AL,community_event,2,50,709.48,2,50,709.48,25.00,80,74,163,0,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Rep Call / Manual Research
FAN0033197,HH0033197,group_buyer,Meridianville,AL,website,3,52,708.69,3,52,708.69,17.33,80,84,19,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0011067,HH0011067,group_buyer,Huntsville,AL,community_event,2,48,708.01,2,48,708.01,24.00,80,83,768,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0083796,HH0083796,group_buyer,Huntsville,AL,community_event,2,48,707.66,2,48,707.66,24.00,80,83,94,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0004255,HH0004255,group_buyer,Huntsville,AL,community_event,3,49,707.37,3,49,707.37,16.33,80,83,848,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0088754,HH0088754,group_buyer,Huntsville,AL,group_sales_rep,2,48,706.33,2,48,706.33,24.00,80,83,44,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0062531,HH0062531,group_buyer,Birmingham,AL,website,2,51,704.88,2,51,704.88,25.50,80,74,95,0,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Rep Call / Manual Research
FAN0001914,HH0001914,group_buyer,Madison,AL,website,3,49,704.73,3,49,704.73,16.33,80,83,507,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0075428,HH0075428,group_buyer,Madison,AL,website,2,49,703.29,2,49,703.29,24.50,80,83,93,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0062180,HH0062180,group_buyer,Huntsville,AL,website,2,50,702.69,2,50,702.69,25.00,80,84,105,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0047224,HH0047224,group_buyer,Huntsville,AL,group_sales_rep,3,49,702.52,3,49,702.52,16.33,80,83,85,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0062028,HH0062028,group_buyer,Harvest,AL,group_sales_rep,2,51,700.14,2,51,700.14,25.50,80,84,86,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0053046,HH0053046,group_buyer,Harvest,AL,community_event,3,52,699.88,3,52,699.88,17.33,80,84,43,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0052912,HH0052912,group_buyer,Athens,AL,group_sales_rep,2,48,699.84,2,48,699.84,24.00,80,83,415,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0061530,HH0061530,group_buyer,Athens,AL,website,3,51,699.65,3,51,699.65,17.00,80,84,158,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0006243,HH0006243,group_buyer,Huntsville,AL,community_event,3,48,698.58,3,48,698.58,16.00,80,83,158,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0056892,HH0056892,group_buyer,Madison,AL,website,2,48,698.17,2,48,698.17,24.00,80,83,142,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0051771,HH0051771,group_buyer,Huntsville,AL,community_event,2,48,697.64,2,48,697.64,24.00,80,83,428,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0061479,HH0061479,group_buyer,Madison,AL,group_sales_rep,2,48,696.79,2,48,696.79,24.00,80,73,46,0,1,Group Sales Follow-Up,Priority 2: Group Package Offer,SMS
FAN0003513,HH0003513,group_buyer,Huntsville,AL,group_sales_rep,3,51,696.50,3,51,696.50,17.00,80,74,752,0,1,Group Sales Follow-Up,Priority 2: Group Package Offer,SMS
FAN0078075,HH0078075,group_buyer,Athens,AL,website,2,49,694.76,2,49,694.76,24.50,80,83,93,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0039804,HH0039804,group_buyer,Madison,AL,community_event,2,49,694.39,2,49,694.39,24.50,80,83,142,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0018076,HH0018076,group_buyer,Madison,AL,community_event,3,49,693.48,3,49,693.48,16.33,80,83,491,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0063747,HH0063747,group_buyer,Huntsville,AL,community_event,2,49,693.18,2,49,693.18,24.50,80,83,163,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0031424,HH0031424,group_buyer,Madison,AL,website,2,52,692.16,2,52,692.16,26.00,80,83,463,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0034095,HH0034095,group_buyer,Nashville,TN,community_event,3,48,691.94,3,48,691.94,16.00,80,82,86,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0042744,HH0042744,group_buyer,Huntsville,AL,group_sales_rep,2,49,691.42,2,49,691.42,24.50,80,83,378,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0036042,HH0036042,group_buyer,Decatur,AL,community_event,3,51,691.31,3,51,691.31,17.00,80,83,141,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0015478,HH0015478,group_buyer,Decatur,AL,community_event,2,52,691.03,2,52,691.03,26.00,80,83,507,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0001768,HH0001768,group_buyer,Huntsville,AL,website,3,48,690.02,3,48,690.02,16.00,80,82,463,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0043193,HH0043193,group_buyer,Madison,AL,community_event,2,48,689.75,2,48,689.75,24.00,80,82,142,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0038953,HH0038953,group_buyer,Madison,AL,group_sales_rep,2,52,688.29,2,52,688.29,26.00,80,73,372,0,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Rep Call / Manual Research
FAN0039735,HH0039735,group_buyer,Madison,AL,group_sales_rep,2,50,687.00,2,50,687.00,25.00,80,83,383,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0083634,HH0083634,group_buyer,Athens,AL,website,2,48,686.72,2,48,686.72,24.00,80,82,56,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0039341,HH0039341,group_buyer,Madison,AL,group_sales_rep,2,49,686.05,2,49,686.05,24.50,80,73,428,0,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Rep Call / Manual Research
FAN0078360,HH0078360,group_buyer,Madison,AL,website,2,48,685.93,2,48,685.93,24.00,80,82,87,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0002576,HH0002576,group_buyer,Huntsville,AL,community_event,4,48,685.65,4,48,685.65,12.00,80,82,862,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0052339,HH0052339,group_buyer,Huntsville,AL,website,2,51,685.33,2,51,685.33,25.50,80,83,107,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0047242,HH0047242,group_buyer,Madison,AL,website,2,51,684.44,2,51,684.44,25.50,80,83,383,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0069703,HH0069703,group_buyer,Madison,AL,community_event,3,49,683.94,3,49,683.94,16.33,80,83,32,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0054558,HH0054558,group_buyer,Madison,AL,group_sales_rep,3,50,683.68,3,50,683.68,16.67,80,83,30,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0032886,HH0032886,group_buyer,Madison,AL,community_event,2,51,683.66,2,51,683.66,25.50,80,83,739,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0012158,HH0012158,group_buyer,Huntsville,AL,community_event,3,48,682.59,3,48,682.59,16.00,80,82,163,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0076253,HH0076253,group_buyer,Huntsville,AL,website,2,52,682.54,2,52,682.54,26.00,80,83,126,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0022564,HH0022564,group_buyer,Decatur,AL,community_event,2,51,682.53,2,51,682.53,25.50,80,83,508,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0084608,HH0084608,group_buyer,Madison,AL,website,2,48,679.81,2,48,679.81,24.00,80,82,87,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0023746,HH0023746,group_buyer,Birmingham,AL,community_event,3,49,679.61,3,49,679.61,16.33,80,73,75,0,1,Group Sales Follow-Up,Priority 2: Group Package Offer,SMS
FAN0008508,HH0008508,group_buyer,Decatur,AL,community_event,3,50,677.76,3,50,677.76,16.67,80,83,739,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0038177,HH0038177,group_buyer,Decatur,AL,community_event,2,52,675.80,2,52,675.80,26.00,80,73,163,0,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Rep Call / Manual Research
FAN0011872,HH0011872,group_buyer,Huntsville,AL,group_sales_rep,3,48,675.72,3,48,675.72,16.00,80,82,754,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0053093,HH0053093,group_buyer,Huntsville,AL,website,2,48,674.17,2,48,674.17,24.00,80,82,129,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0060806,HH0060806,group_buyer,Huntsville,AL,group_sales_rep,3,51,672.91,3,51,672.91,17.00,80,83,86,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0026036,HH0026036,group_buyer,Madison,AL,group_sales_rep,2,49,672.78,2,49,672.78,24.50,80,82,477,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0043840,HH0043840,group_buyer,Birmingham,AL,community_event,3,48,671.46,3,48,671.46,16.00,80,72,4,0,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Rep Call / Manual Research
FAN0019720,HH0019720,group_buyer,Huntsville,AL,group_sales_rep,3,50,671.40,3,50,671.40,16.67,80,83,417,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0054843,HH0054843,group_buyer,Chattanooga,TN,website,2,49,669.09,2,49,669.09,24.50,80,72,145,0,1,Group Sales Follow-Up,Priority 2: Group Package Offer,SMS
FAN0089261,HH0089261,group_buyer,Huntsville,AL,community_event,2,49,668.89,2,49,668.89,24.50,80,82,28,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0043061,HH0043061,group_buyer,Huntsville,AL,community_event,2,48,668.30,2,48,668.30,24.00,80,82,107,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0052811,HH0052811,group_buyer,Madison,AL,group_sales_rep,3,48,667.51,3,48,667.51,16.00,80,72,105,0,1,Group Sales Follow-Up,Priority 2: Group Package Offer,SMS
FAN0056182,HH0056182,group_buyer,Madison,AL,community_event,2,49,667.15,2,49,667.15,24.50,80,82,418,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0047457,HH0047457,group_buyer,Huntsville,AL,group_sales_rep,2,49,664.02,2,49,664.02,24.50,80,72,16,0,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Rep Call / Manual Research
FAN0039446,HH0039446,group_buyer,Madison,AL,website,2,48,662.43,2,48,662.43,24.00,80,82,494,1,1,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
FAN0046579,HH0046579,group_buyer,Madison,AL,group_sales_rep,2,48,662.03,2,48,662.03,24.00,80,82,130,1,0,Group Sales Follow-Up,Priority 2: Group Package Offer,Email
