game_date,season,month_name,opponent,tbc_home_away,result,score,attendance,time_of_game,team_record_after_game,ballpark,location,is_toyota_field_game,source_name
2025-07-01,2025,July,Knoxville Smokies,Home,L,1-3,3638,2:24,24-51,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2025-07-02,2025,July,Knoxville Smokies,Home,W,9-1,3665,2:41,25-51,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2025-07-03,2025,July,Knoxville Smokies,Home,W,10-8,7157,2:57,26-51,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2025-07-18,2025,July,Columbus Clingstones,Home,W,4-1,6491,2:10,31-56,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2025-07-20,2025,July,Columbus Clingstones,Home,W,7-2,0,1:56,32-57,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2025-07-20,2025,July,Columbus Clingstones,Home,L,3-8,3606,2:21,32-57,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2025-07-29,2025,July,Birmingham Barons,Home,L,0-2,3414,2:47,34-62,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2025-07-30,2025,July,Birmingham Barons,Home,L,0-10,3214,2:51,34-63,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2025-07-31,2025,July,Birmingham Barons,Home,W,3-0,3529,2:44,35-63,Toyota,"Field Madison,Alabama date month opponent v-h result score boxscore attendance time of game record ballpark location",1,the_baseball_cube_minor_game_log
2025-08-01,2025,August,Birmingham Barons,Home,L,0-6,5812,2:16,35-64,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2025-08-02,2025,August,Birmingham Barons,Home,L,2-3,5325,2:44,35-65,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2025-08-03,2025,August,Birmingham Barons,Home,L,1-3,2952,2:13,35-66,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2025-08-12,2025,August,Knoxville Smokies,Home,W,5-0,3258,2:43,37-71,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2025-08-13,2025,August,Knoxville Smokies,Home,W,5-0,3274,2:38,38-71,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2025-08-14,2025,August,Knoxville Smokies,Home,L,6-8,3539,3:07,38-72,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2025-08-15,2025,August,Knoxville Smokies,Home,L,4-7,5013,2:55,38-73,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2025-08-16,2025,August,Knoxville Smokies,Home,L,3-5,5366,2:37,38-74,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2025-08-17,2025,August,Knoxville Smokies,Home,L,5-13,3428,2:49,38-75,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2025-08-26,2025,August,Columbus Clingstones,Home,W,2-0,3277,2:18,41-79,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2025-08-27,2025,August,Columbus Clingstones,Home,W,6-5,3411,2:54,42-79,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2025-08-28,2025,August,Columbus Clingstones,Home,L,2-5,4846,2:40,42-80,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2025-08-29,2025,August,Columbus Clingstones,Home,L,1-7,3918,2:48,42-81,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2025-08-30,2025,August,Columbus Clingstones,Home,W,4-0,5526,1:57,43-81,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2025-08-31,2025,August,Columbus Clingstones,Home,L,0-3,3105,2:36,43-82,Toyota,"Field Madison,Alabama date month opponent v-h result score boxscore attendance time of game record ballpark location",1,the_baseball_cube_minor_game_log
2025-09-09,2025,September,Chattanooga Lookouts,Home,L,2-4,3566,2:44,44-88,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2025-09-10,2025,September,Chattanooga Lookouts,Home,L,3-6,3102,2:42,44-89,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2025-09-11,2025,September,Chattanooga Lookouts,Home,L,2-10,4324,2:50,44-90,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2025-09-12,2025,September,Chattanooga Lookouts,Home,L,4-9,4810,2:34,44-91,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2025-09-13,2025,September,Chattanooga Lookouts,Home,W,2-1,5458,2:09,45-91,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2025-09-14,2025,September,Chattanooga Lookouts,Home,L,3-6,4588,2:29,45-92,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
